Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Georgia,Idaho,Illinois,Indiana,Iowa(Imputed),Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana(Imputed),Nebraska,Nevada,New Hamshire(Imputed),New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2010,10,10.1,10.1,8.3,12.3,8.9,9.2,8.2,10.6,8.8,9.3,9.9,7.64,6.7,10,8.3,8.1,7.6,8,11.8,6.6,10.1,9.5,6.25,4.5,13.7,8.05,9,8,8.5,10.4,3.7,9.8,6.6,10.4,8.2,8.6,10.9,6.2475,9.4,8.1,7.7,8.183333333,6.9,9.8,8.8,8.3,6.7195
2010,11,10.2,10,8.3,12.3,8.9,9.3,8.1,10.6,8.8,9.4,9.7,7.66,6.7,10,8.4,8.1,7.5,7.9,11.6,6.7,10.1,9.5,6.2,4.5,13.7,8,9.2,7.9,8.4,10.4,3.6,9.7,6.5,10.2,8.1,8.6,10.8,6.265,9.5,8.1,7.6,8.1,6.9,9.8,8.8,8.2,6.693
2010,12,10.3,9.9,8.4,12.2,8.9,9.3,8,10.6,8.8,9.3,9.4,7.66,6.4,10,8.3,8.1,7.5,7.8,11.3,7,10.1,9.4,6.2,4.5,13.6,7.95,9.1,7.8,8.4,10.4,3.6,9.5,6.4,10.1,8,8.55,10.8,6.34,9.5,8.1,7.6,8.05,6.8,9.7,8.8,8.1,6.708
2011,1,10.2,9.8,8.5,12.1,8.8,9.2,7.9,10.5,8.7,10.1,9.2,7.92,7.4,9.8,8.3,8.1,7.4,7.8,11,7.7,10.1,9.3,6.1,4.5,13.5,7.95,10,7.7,8.3,10.4,3.5,9.3,6.2,9.9,7.9,8.5,10.7,6.555,9.5,8,7.5,8.016666667,6.7,9.6,8.7,8,6.691
2011,2,10.2,9.7,8.5,12,8.7,9.2,7.8,10.4,8.7,9.9,9,7.8,7.2,9.7,8.2,8.1,7.3,7.6,10.8,7.5,10.1,9.1,6.1,4.5,13.4,7.85,9.9,7.5,8.2,10.3,3.5,9.1,6.1,9.7,7.9,8.4,10.7,6.475,9.4,7.9,7.4,7.883333333,6.6,9.5,8.5,8,6.635
2011,3,10.1,9.7,8.5,11.9,8.5,9.2,7.7,10.3,8.6,9.5,8.9,7.64,6.9,9.6,8.1,8,7.3,7.5,10.7,7.4,10.1,8.9,6.05,4.5,13.3,7.75,9.7,7.4,8.1,10.3,3.5,9,5.9,9.5,7.8,8.35,10.6,6.3975,9.3,7.9,7.2,7.783333333,6.5,9.5,8.3,7.9,6.5295
2011,4,10,9.7,8.5,11.8,8.4,9.1,7.6,10.3,8.6,9.1,8.9,7.38,6.3,9.6,8,8,7.3,7.4,10.6,6.6,10.1,8.8,6.05,4.5,13.2,7.7,9.1,7.4,8.1,10.3,3.5,9,5.9,9.5,7.8,8.25,10.6,6.1325,9.2,7.9,7.1,7.733333333,6.5,9.4,8.2,7.9,6.4365
2011,5,10,9.7,8.5,11.8,8.3,9,7.5,10.3,8.5,9.3,9,7.34,6.4,9.5,7.9,8,7.3,7.4,10.6,6.3,10.1,8.7,6,4.5,13.2,7.7,9.2,7.4,8.1,10.3,3.5,9,5.8,9.5,7.9,8.2,10.6,6.035,9.2,7.9,7,7.733333333,6.6,9.4,8.1,7.9,6.367
2011,6,10,9.7,8.4,11.8,8.3,8.9,7.5,10.3,8.4,10.2,9.2,7.58,6.7,9.5,7.8,7.9,7.3,7.3,10.6,6.8,10.2,8.6,5.95,4.4,13.1,7.6,9.5,7.4,8.2,10.4,3.5,9.1,5.8,9.5,8,8.1,10.7,6.1825,9.1,7.9,6.8,7.7,6.6,9.4,8,7.9,6.3265
2011,7,9.9,9.7,8.4,11.8,8.3,8.8,7.5,10.4,8.3,10.4,9.3,7.64,6.8,9.5,7.7,7.9,7.3,7.2,10.6,7.1,10.1,8.5,5.9,4.4,13.1,7.55,9.7,7.5,8.3,10.5,3.5,9.1,5.9,9.5,8,8,10.7,6.26,9.1,7.9,6.7,7.683333333,6.7,9.3,8,7.8,6.312
2011,8,9.7,9.6,8.3,11.7,8.2,8.7,7.4,10.3,8.2,10.3,9.4,7.42,6.6,9.4,7.7,7.8,7.3,7.1,10.5,6.2,10.1,8.4,5.85,4.4,13,7.45,9.2,7.5,8.3,10.4,3.5,9,5.9,9.5,8.1,7.9,10.7,5.9675,9,7.8,6.5,7.616666667,6.7,9.3,8,7.8,6.1835
2011,9,9.4,9.4,8.2,11.6,8.2,8.6,7.4,10.2,8.1,9.8,9.4,7.18,6.2,9.3,7.6,7.8,7.2,7,10.2,5.9,10,8.2,5.8,4.3,12.9,7.4,9.2,7.6,8.4,10.3,3.5,8.8,5.9,9.5,8,7.8,10.6,5.795,8.8,7.7,6.4,7.6,6.7,9.2,7.9,7.7,6.099
2011,10,9,9.2,8,11.5,8.2,8.5,7.3,10.1,8,9.6,9.2,6.96,6,9.1,7.6,7.7,7.2,6.9,10,5.4,9.8,8,5.7,4.3,12.7,7.3,9,7.6,8.5,10.2,3.4,8.5,5.8,9.4,8,7.7,10.4,5.59,8.6,7.6,6.3,7.566666667,6.6,9,7.8,7.5,6.018
2011,11,8.6,9,7.9,11.3,8.2,8.4,7.2,9.9,7.9,9,9,6.74,5.7,8.9,7.6,7.7,7.1,6.9,9.7,5.3,9.7,7.8,5.65,4.2,12.5,7.3,8.8,7.6,8.5,10,3.4,8.3,5.7,9.3,7.9,7.65,10.2,5.4725,8.3,7.4,6.1,7.566666667,6.5,8.9,7.7,7.4,5.9245
2011,12,8.3,8.8,7.8,11.2,8.2,8.3,7.2,9.8,7.8,9.2,8.8,6.8,5.7,8.6,7.5,7.7,7,6.8,9.4,5.7,9.4,7.6,5.55,4.2,12.3,7.25,8.9,7.6,8.6,9.8,3.3,8,5.6,9.2,7.8,7.55,10,5.5625,8.1,7.2,6,7.55,6.4,8.8,7.5,7.3,5.9025
2012,1,8.1,8.7,7.7,11,8.2,8.2,7.1,9.7,7.7,9.7,8.6,7,6.4,8.4,7.5,7.7,7,6.7,9.2,6.6,9.2,7.4,5.45,4.1,12,7.2,9.6,7.5,8.6,9.6,3.2,7.8,5.5,9.1,7.7,7.45,9.8,5.7875,7.9,7.1,5.9,7.5,6.3,8.6,7.4,7.2,5.8875
2012,2,7.9,8.7,7.6,10.9,8.1,8.2,7.1,9.6,7.6,9.6,8.4,6.92,6.3,8.2,7.4,7.7,7,6.7,9.1,6.6,9.1,7.2,5.35,4.1,11.8,7.2,9.7,7.3,8.6,9.5,3.1,7.6,5.4,9,7.7,7.45,9.7,5.7425,7.8,7,5.8,7.5,6.2,8.5,7.3,7.1,5.8185
2012,3,8,8.6,7.6,10.8,8.1,8.3,7.1,9.5,7.5,9,8.3,6.74,6.1,8.1,7.4,7.6,7,6.6,9.1,6.5,9,7.1,5.25,4,11.6,7.1,9.5,7.2,8.7,9.4,3,7.5,5.3,9,7.7,7.45,9.6,5.6225,7.8,6.9,5.7,7.466666667,6.2,8.5,7.3,7.1,5.7345
2012,4,8.1,8.6,7.6,10.7,8.1,8.3,7.2,9.5,7.5,8.3,8.3,6.36,5.5,8.1,7.4,7.6,7,6.6,9.2,5.4,8.9,7,5.25,4,11.5,7.1,9.2,7.1,8.7,9.4,3,7.4,5.2,8.9,7.7,7.45,9.5,5.2525,7.9,6.9,5.6,7.466666667,6.2,8.4,7.4,7.1,5.6405
